Time (s),USB Avg Current (mA),USB Avg Power (mW)
1.0160,564.955,2623.6511
1.0180,564.731,2616.9634
1.0200,565.117,2626.6638
1.0220,567.092,2632.4412
1.0240,564.408,2612.0801
1.0260,568.285,2635.7058
1.0280,566.197,2632.8162
1.0300,565.328,2628.7751
1.0320,567.34,2633.5925
1.0340,587.48,2722.3821
1.0360,569.154,2642.0129
1.0380,550.307,2567.7324
1.0400,555.078,2582.2229
1.0420,564.62,2620.9661
1.0440,586.063,2695.8896
1.0460,566.135,2624.6021
1.0480,568.918,2642.0554
1.0500,568.657,2632.8818
1.0520,601.121,2779.5835
1.0540,586.61,2713.6577
1.0560,556.221,2594.2148
1.0580,569.229,2645.7764
1.0600,570.583,2652.0696
1.0620,570.521,2642.6533
1.0640,576,2666.8801
1.0660,591.704,2739.5896
1.0680,569.092,2637.1721
1.0700,567.527,2631.0552
1.0720,545.101,2546.7119
1.0740,565.787,2630.9094
1.0760,592.574,2744.8027
1.0780,569.564,2648.4727
1.0800,569.701,2647.97
1.0820,565.092,2627.6777
1.0840,565.7,2630.5051
1.0860,568.657,2644.2551
1.0880,564.272,2619.3506
1.0900,565.117,2617.6218
1.0920,565.8,2624.1804
1.0940,566.993,2635.3833
1.0960,565.638,2622.2979
1.0980,584.423,2693.021
1.1000,564.831,2626.4641
1.1020,565.092,2628.8079
1.1040,545.4,2548.1089
1.1060,559.911,2605.8257
1.1080,572.869,2648.9463
1.1100,582.311,2693.7705
1.1120,565.589,2627.7263
1.1140,567.676,2637.4229
1.1160,564.557,2617.2864
1.1180,564.172,2609.8596
1.1200,592.139,2741.6035
1.1220,544.605,2542.2161
1.1240,566.222,2629.5349
1.1260,566.918,2633.9011
1.1280,570.397,2650.0642
1.1300,594.81,2752.7805
1.1320,571.13,2653.47
1.1340,568.508,2643.5623
1.1360,569.788,2649.5144
1.1380,545.921,2551.6348
1.1400,570.161,2645.5471
1.1420,595.319,2744.4204
1.1440,566.732,2635.3037
1.1460,567.788,2641.3499
1.1480,565.949,2629.3989
1.1500,565.912,2623.5681
1.1520,587.057,2706.3328
1.1540,543.822,2541.824
1.1560,565.191,2629.2683
1.1580,566.955,2636.3408
1.1600,567.775,2640.1538
1.1620,570.148,2640.9255
1.1640,586.175,2704.6113
1.1660,565.489,2630.6548
1.1680,566.732,2635.3037
1.1700,547.735,2560.1133
1.1720,560.768,2608.6926
1.1740,589.517,2720.0315
1.1760,567.862,2631.4724
1.1780,567.452,2638.6519
1.1800,566.508,2634.2622
1.1820,565.452,2630.4829
1.1840,567.701,2638.6741
1.1860,589.43,2717.2725
1.1880,542.617,2528.5952
1.1900,565.527,2628.5693
1.1920,567.092,2635.8435
1.1940,566.732,2635.3037
1.1960,591.878,2740.3953
1.1980,565.999,2621.7075
1.2000,565.514,2623.9849
1.2020,566.694,2635.127
1.2040,541.933,2532.9946
1.2060,567.378,2638.3076
1.2080,590.958,2731.408
1.2100,567.539,2627.7056
1.2120,566.657,2632.6882
1.2140,565.266,2628.4868
1.2160,565.054,2627.5012
1.2180,591.294,2740.0564
1.2200,546.555,2544.76
1.2220,561.414,2606.084
1.2240,565.8,2630.97
1.2260,573.08,2660.2375
1.2280,572.633,2654.7266
1.2300,591.803,2734.1296
1.2320,567.688,2631.8015
1.2340,567.502,2638.8845
1.2360,568.247,2640.0754
1.2380,544.977,2546.1326
1.2400,589.741,2718.7063
1.2420,569.9,2643.1963
1.2440,569.13,2645.3162
1.2460,568.819,2643.8704
1.2480,567.9,2639.5991
1.2500,573.441,2643.563
1.2520,588.585,2727.5029
1.2540,543.076,2527.4756
1.2560,566.806,2631.1138
1.2580,569.204,2643.3833
1.2600,568.67,2643.178
1.2620,593.108,2743.7175
1.2640,567.576,2627.877
1.2660,567.154,2634.9973
1.2680,568.148,2629.3889
1.2700,548.555,2558.4604
1.2720,588.585,2721.6172
1.2740,573.776,2663.4683
1.2760,569.39,2638.5532
1.2780,571.664,2644.5176
1.2800,567.452,2637.5168
1.2820,567.986,2637.7271
1.2840,592.375,2736.7725
1.2860,557.588,2599.4753
1.2880,566.794,2634.4585
1.2900,577.864,2673.199
1.2920,572.683,2653.8127
1.2940,597.208,2754.3232
1.2960,572.273,2657.636
1.2980,571.08,2654.3799
1.3000,571.055,2642.8423
1.3020,577.379,2673.2649
1.3040,550.817,2570.1121
1.3060,596.711,2752.031
1.3080,572.919,2661.7817
1.3100,578.249,2678.4495
1.3120,572.583,2649.9141
1.3140,569.465,2648.0125
1.3160,590.834,2724.9263
1.3180,573.403,2654.856
1.3200,545.114,2546.7727
1.3220,571.515,2654.1157
1.3240,571.366,2655.7092
1.3260,581.454,2685.1545
1.3280,587.095,2713.553
1.3300,565.166,2630.2825
1.3320,565.005,2620.4932
1.3340,567.017,2629.825
1.3360,543.288,2540.4148
1.3380,591.654,2741.7246
1.3400,565.974,2634.043
1.3420,568.049,2638.0195
1.3440,565.589,2628.8574
1.3460,564.135,2624.356
1.3480,585.889,2704.4636
1.3500,567.75,2630.9534
1.3520,545.611,2549.0947
1.3540,559.277,2601.7566
1.3560,564.632,2626.6682
1.3580,567.75,2640.0376
1.3600,588.238,2716.4829
1.3620,564.769,2623.9167
1.3640,564.06,2622.8792
1.3660,564.036,2612.6147
1.3680,567.278,2629.9009
1.3700,560.955,2602.8313
1.3720,566.57,2631.1511
1.3740,568.844,2642.8491
1.3760,572.062,2658.9441
1.3780,569.999,2650.4956
1.3800,572.124,2653.5112
1.3820,591.816,2734.1897
1.3840,571.291,2650.7903
1.3860,544.692,2543.7117
1.3880,568.831,2642.7888
1.3900,570.533,2649.5554
1.3920,592.089,2740.1877
1.3940,567.514,2640.075
1.3960,565.937,2625.9478
1.3980,566.222,2626.1375
1.4000,567.253,2637.7266
1.4020,562.806,2622.676
1.4040,573.229,2666.6614
1.4060,566.62,2632.5164
1.4080,566.222,2634.0647
1.4100,565.228,2627.1797
1.4120,565.402,2617.8113
1.4140,584.833,2700.7588
1.4160,565.676,2631.5249
1.4180,543.611,2539.7507
1.4200,563.613,2623.0547
1.4220,565.315,2628.7148
1.4240,586.063,2706.439
1.4260,566.831,2636.8977
1.4280,566.185,2623.7012
1.4300,563.899,2614.2358
1.4320,566.458,2631.7639
1.4340,558.209,2603.4868
1.4360,566.595,2626.7344
1.4380,566.458,2631.7639
1.4400,567.688,2636.343
1.4420,567.353,2637.0566
1.4440,571.204,2644.6746
1.4460,590.25,2723.4133
1.4480,571.627,2652.3494
1.4500,566.906,2633.8452
1.4520,549.972,2568.3691
1.4540,569.713,2646.8867
1.4560,587.405,2722.0349
1.4580,579.429,2687.3918
1.4600,573.702,2655.0928
1.4620,568.223,2637.6914
1.4640,572.608,2662.6272
1.4660,569.39,2646.5247
1.4680,562.098,2603.6379
1.4700,565.154,2629.0964
1.4720,567.166,2635.0532
1.4740,567.017,2635.4951
1.4760,568.185,2642.0603
1.4780,583.79,2693.6069
1.4800,569.987,2637.8997
1.4820,566.309,2631.0718
1.4840,545.648,2549.2676
1.4860,565.427,2629.2356
1.4880,566.98,2636.457
1.4900,587.927,2711.5193
1.4920,567.986,2629.7754
1.4940,565.502,2627.3223
1.4960,566.682,2636.2046
1.4980,565.663,2630.333
1.5000,567.514,2628.7246
1.5020,563.961,2622.4187
1.5040,565.042,2622.925
1.5060,565.564,2619.6926
1.5080,565.328,2624.2527
1.5100,568.633,2639.5945
1.5120,588.238,2725.8948
1.5140,563.216,2621.2073
1.5160,564.632,2623.2803
1.5180,542.666,2524.4822
1.5200,564.943,2623.5952
1.5220,589.828,2732.0833
1.5240,572.956,2657.3699
1.5260,567.154,2637.2661
1.5280,564.073,2618.427
1.5300,563.8,2611.5215
1.5320,568.521,2635.6633
1.5340,565.315,2633.2373
1.5360,563.216,2620.0808
1.5380,565.787,2629.7778
1.5400,565.763,2620.6143
1.5420,567.08,2631.2512
1.5440,585.902,2711.5542
1.5460,564.073,2622.9395
1.5480,565.191,2628.1382
